label,sentence
0,通話料金が安くなるスマホアプリが登場！
2,「はやぶさ」が“かなり飛び出る3D駅貼ポスター”、都内に登場
0,将来のために、何かあったときのために貯金＆運用をする独女たち
1,愛される英王子　裸で敬礼！ ハリー英国王子に対する英国軍人の大いなる愛
2,【終了しました】サッカー強豪国ドイツの知られざる真実とは？ 『コッホ先生と僕らの革命』試写会にご招待
0,自転車女子、はじめました vol.07「レンタルバイクを活用せよ！」Presented by ゆるっとcafe
2,人間と共存する“操り人形”がハリウッド殿堂入り
2,『アベンジャーズ』が3週連続1位、ディズニー史上最高記録を達成
2,世界で最も美しく、最もセクシーな“美魔女”が来日決定
1,大人気Ultrabookが作れる！　親子で体験!! デル パソコン組み立て教室5回目の開催が決まる
0,目指すはローラ!? 誰でもタメ口キャラは独女に有効か
0,どこまで付き合う？付き合わせる？男と女の行動範囲
2,米軍や自衛隊がエイリアンと戦闘！『バトルシップ』の特報映像がWEBでいち早く解禁
1,揃いの色や柄、オリジナルプリントで一体感！ポロシャツのプロが運営するユニフォームタウン
1,起動を高速化！　いらないアプリはスタートアップから外す【知っ得！虎の巻】
1,おはこんこん！紺子ぬいぐるみ、まんまるなお目々で進行中です【紺子にゅうす】
1,IE9のタブに表示中のWebページをサムネから切り替えるワザ【知っとく・虎の巻】
2,次世代ジェットコースター・ショッカー・ミステリー！　『スクリーム4』がブルーレイ＆DVDになって登場
1,その正直さかっけーっす！ Transcend Japan公式Twitterアカウントの“漢”さ
0,男性の言い分「独女の食事スタイル、ここが納得いかない！」
1,簡単にシステムキャッシュのサイズを変更！ CacheSetで最適な仮想メモリーを設定する【PC快適術】
2,構想2年、機能性バツグンの“バットマン”メガネが登場
2,意外と使える海外ドラマ『弁護士イーライ』のビジネス術「情報に含まれる“心”を読み取れ！」
2,インタビュー：斉藤和義「音楽バカのカッコ良さを喰らいやがれ！」
1,少し古いマシンに向くSSD登場！ マイクロンよりSATA2.0に最適化されたSSD
0,タンスの肥やしがサイフの糧に!?  最新の買取りサービスの実力とは
0,あなたの下着は透けてない？ 背中やお尻にご用心！
2,ナイナイ岡村、自分は破談するも「お見合い番組」で恋を応援
0,2012年 独女たちの結婚観とは
1,おはこんこん！紺子ぬいぐるみ、7月頃に出来上がるよ【紺子にゅうす】
2,【編集部的映画批評】おぞましい“先生を流産させる”映画の盛況の秘密とは
2,中川翔子がジャッキー作品の吹き替えキャストに選ばれる
1,いよいよ開業間近！ 東京スカイツリー観光に行くなら「東京スカイツリー Navi」がオススメ！【iPhoneでチャンスを掴め】
0,独女が子役にハマる理由
0,不満だらけのランチタイム、ココを変えたい！
1,衆院を通過しカウントダウン開始！　違法ダウンロード刑罰化改正法案
0,離婚歴のある男性との交際、過去はやっぱり気になるもの？
2,『ロード・オブ・ザ・リング』ファン必見、ついに壮大な冒険が始まる
1,本当に稼動するのですね。凄い！孫社長 メガソーラーの状況を報告
0,自転車女子、はじめましたvol.03「ニコタマポタガール!？」Presented by ゆるっとcafe
2,アメリカを支配した男の禁断の半生が明らかに、『J・エドガー』本予告映像＆US版ポスターが公開
0,ドクター圭子の知らなきゃケガするオトナの医学 vol.3〜Presented by ゆるっとcafe〜
1,3割近くがタブレットを所有 価格.comリサーチによるタブレット所有リサーチ結果
1,Windowsユーザーにはイマイチ？ アップルの「iCloud」【デジ通】
1,超薄Ultrabookに両面液晶ノート！ COMPTEX TAIPEI 2012が開幕【デジ通】
1,Kepler最新モデル登場！　深夜販売も行われたNVIDIAの最新GPU「GeForce GTX 660 Ti」
0,【オトナ女子映画部】20人以上と寝た女性の96％が未婚？！『運命の元カレ』
0,2011年の独女事情総まとめ座談会(前編)
2,全米No.1映画『リアル・スティール』の予告＆ポスターが公開
1,同じ趣味の人を紹介し合おう　Facebookで広げる友達の輪【知っ得！虎の巻】
0,男が好む「寝ながらTV」の対処法とは？
1,違法ダウンロード刑罰化の次は通信の秘密に踏み込む音楽権利団体
0,運命の一着に出会う、もっとも簡単な方法とは？
2,【2011下半期アワードvol.2】故・林由美香さんの生き様をとらえた奇跡の映像
0,日本人には良い油＝“フィッシュオイル”が足りていない！？
1,プラチナバンド期待してます！孫社長”頑張ります”
2,二股女を演じたリース・ウィザースプーンって何者なのか
0,東京で働く独女が震災以降変わったこと
1,マイクロソフトのタブレットPC　Surfaceは売れるのか？ 【デジ通】
2,【元気東北・山形編】田舎がないのに懐かしいと思ってしまう理由
1,スマホ用電子書籍ビューワが凄い！電子書籍の配信ソリューション「book-in-the-box」
0,勘違いしちゃった！ 罪な男の行動
2,ケロロ軍曹が貞子に！？　恐怖のコラボ第2弾が決定
2,【いちおう妖ヶ劇場】第3話：「悪魔（グレムリン）＝日本人」は、あくまで噂ですからの巻
2,ありえないほど“最強”なヒーローが集結、『アベンジャーズ』日本版キャラクター画象が公開
1,なんだ、そうだったのか！Googleロゴが四角い建築である理由
2,世紀のディズニー・スペクタクル巨編『ジョン・カーター』のポスターが公開
1,電子ブックリーダー「kobo Touch」の実機が見られる！楽天が大手書店と連携した理由
2,怖いよ〜！ ティータイムに貞子が襲ってくる
1,懐かしのヒーローが続々！　名アニメーターが描くヒーローイラストが話題に
1,価格が安価で矯正を気づかれない！綺麗な歯並びになれる、歯列矯正の最前線
2,風で純白のスカートがふわり、あの名シーンが究極の映像で復活
2,悪魔も恐れるあの“燃焼系”ヒーローが還ってきた！ニコラス・ケイジ主演『ゴーストライダー2』公開日&特報予告が解禁
1,Facebookドリームから飛び出した19歳！驚くほどパワフルな写真の秘密を探る【新写真空間】
1,Macもウイルスに感染 絶対安全なOSは存在しない【デジ通】
0,精神的ないじめ「モラハラ」の恐怖とは？
0,2011年婚活模様はどうなる？
1,新感覚UIを体験せよ！今話題のTODOリストアプリ「Clear」【iPhoneでチャンスを掴め】
2,スピルバーグが挑む“感動”の物語、『戦火の馬』の日本版予告映像＆ポスター公開
2,美少女・橋本愛が声優に初挑戦「初めてだからできないのは当たり前！」
2,ジョージ・クルーニー主演映画、脚色賞を受賞
1,ハゲ頭を言い訳にしたことはない！孫社長 失礼な発言に大人の対応
2,小栗旬は“使えない若者”、映画『キツツキと雨』の特報映像公開
0,独身男性は独女より人妻と遊びたいってホント？
1,アナタはもう見た金環食？　あいにくの天気だった人はネットで楽しもう！
1,例のあのメニューも！ニコニコ超会議のフードコートメニュー14種類紹介（前半）
0,女性に人気・Echikaのキャンペーンサイト＝「エチカちゃんクラブ」がオープン
1,ドコモでも同じ結果では？孫社長 SB幻滅発言に猛反論
2,綾波レイ&アスカが人気キャラクターとコラボ
2,YOSHIKI、ゴールデン・グローブ賞授賞式でテーマ曲披露「感無量でした」
1,人気の音ゲーここにあり！ 上手にリズムを刻む心地さがここに「jubeat plus」【iPhoneでチャンスを掴め】
0,3人に2人は彼氏ナシの恋愛超氷河期、あなたの恋愛偏差値は？
0,女どうしでもなかなか聞けない！ アンダーヘア、どうしてる？
0,大震災をきっかけに考える。在宅勤務はアリかナシか？
2,エイリアンに容赦なく狩られるカウボーイ、『カウボーイ＆エイリアン』特別映像を公開
0,独女的映画レビュー vol.11　『食べて、祈って、恋をして』
2,インタビュー：長野じゅりあ「世の男性にもっと強く、男らしくなって欲しい」
0,【オトナ女子映画部】すてきなクリスマスを・・・『ラブ・アクチュアリー』
1,スマートに一体化！GALAXY Noteを無敵化するバッテリー内蔵ケース【イケショップのレア物】
0,女医が教えるオンナの体のウソホント vol.8「イイ婦人科の見つけ方」presented by ゆるっとcafe
0,欲しくなったときが適齢期？ わたしたちの高齢出産
1,Windowsトラブル時にデータを救出！Ubuntuの便利な機能アレコレ 【デジ通】
2,『スター・ウォーズ』や『アバター』に多大な影響を与えた世紀の大作、注目度No.1俳優が登場
0,女医が教えるオンナの体ウソホント vol.5「どうしたらＨが気持ちよくなるの？」
1,はるかぜちゃんかっけー！ togetterまとめを使ったはるかぜちゃんからのメッセージ
1,128GBのBDXL対応ドライブが登場！最小・最軽量のポータブルドライブ
1,何よりも大切な宝ですね！孫社長の幸せ発言がネットで話題
0,失敗しないために！　婚前同棲は必要か？
2,【週末映画まとめ読み】海外ドラマから学ぶ“女性の偽造”を見抜くポイントとは
1,入力し直し不要！　Excelで表の行と列を入れ替える【知っ得！虎の巻】
1,Ubuntuをもっと「Windows的」にしたい！ デスクトップのシェルを変更する【デジ通】
2,“家族愛”の優しい雨が降り注ぐ『おおかみこどもの雨と雪』
1,人気のスマホに強い味方！ドコモ GALAXY NEXUS SC-04D用大容量バッテリー【モバステ通信】
1,投資に必須の知識が無料で学べる！ iPad用アプリ「QUICK投資情報館」がオススメ【デジ通】
2,インタビュー：ウォンビン「お互い寄り添うように助け合う愛もある」
2,『ワイルド・スピード MEGA MAX』の“メガ・マックス”な楽しみ方
1,装着場所が無いならサンバイザーだ！サンバイザーに装着するホルダー【イケショップのレア物】
0,女子が嬉しいホメ言葉、嬉しくないホメ言葉
1,2012年夏モデルも紹介！　新しいネットサービスから新型CPUネタやiアプリまで【デジ通】一気読み
1,東山正宜と石井ゆかりが織りなすロマンテックな都会の星！GR DIGITAL IVでも撮れる秘密とは？【新-写真空間】
0,彼に話してもいい「過去」のボーダーラインは？
2,『ウルトラマンサーガ』主題歌、AKB48派生ユニットDiVAの新曲スポットが解禁
2,【2011下半期アワードvol.4】やっぱり、ジェニファー・アニストンはセクシーだった
2,″ナチスが月から降ってくる″トンデモSF映画『IRON SKY』がまさかの日本上陸か
1,圧倒的No.1のゲームPCブランドを目指す！ドスパラがPCの新ロゴを発表【ITフラッシュバック】
1,GIGABYTEマーケティング部門副部長が語る！アキバで見たシニア世代に感動
2,【終了しました】堺雅人が“伝説の殺し屋”になって大ピンチに！『鍵泥棒のメソッド』一般試写会にご招待
0,「昇進」に病む独女世代
2,二股をする気持ちもわかってしまう映画
2,15歳の天才空手美少女が映画デビュー「気分はシンデレラ」
2,【いちおう妖ヶ劇場】第16話：“トランスフォーム”はしない、何せ偽物ですからの巻
2,270万部突破「図書館戦争」シリーズが映画化、主題歌はBase Ball Bear「初恋」
0,独女的映画レビュー vol.5　『イン・ハー・シューズ』
1,HTPCも作れるMini-ITXマザー登場！ZOTAC D2700-ITX WiFi Supreme
0,スマートで美しい“サイフ美人”はロンドンっ娘！ その理由はカードにあり！
0,【オトナ女子映画部】恋愛ドラマを2部構成にした理由とは？ 『僕等がいた』後篇
0,あの頃に戻りたい…。戻りたいのはいつ？
1,コペルニクス的転回的なGPU登場！ITニュースの1週間を振り返る【ITフラッシュバック】
2,天海祐希が“奇跡の子役”に「母のような気持ち」
1,一連の流れを紹介！ Google playで出回った不審なAndroidアプリ問題
2,【週末映画まとめ読み】『となりのトトロ』の驚きの裏設定を知っていますか？
2,全世界が恐怖した“超常現象”再び！驚愕の真実に迫る『パラノーマル・アクティビティ4』がついに解禁
0,映画を観ながらダイエット！「映画ヨガ」をカンタンに学べる無料動画が公開中
2,ザック・エフロン、映画『ニューイヤーズ・イブ』PRのため来日決定
1,まだスーパーマルチなアナタに！　薄型のポータブルBDドライブが登場
2,ヨンア「タンタンのように勇気のある男の子がすごく好き」
2,オダジョーとチャン・ドンゴンは息ぴったり、釜山国際映画祭に登場
1,写真でみる世界最軽量Ultrabook！新情報が目白押しの1日を振り返る【ITフラッシュバック】
0,世界中で「カワイイ」日本が人気らしい
2,"ヤラセ番組のつもりが本当の恐怖に！　動画サイトで再生回数2,100万回突破の超常現象映像"
1,マルチデバイスでしおりを同期！電子書籍の便利な機能【デジ通】
1,旅行・出張先のホテルでネットを無線化！ポケットルーターをタダでもらおう
1,こんこん、ふぉっくす紺子だよ！ミニうちわも企画中だよ【紺子にゅうす】
2,ディズニーの総力を結集した夢の映像プロジェクトがパッケージ化
0,おトクに断捨離できちゃう進化形の買取サービス
2,【編集部的映画批評】アメリカのお父さんは極端に万能もしくは無能
2,政治家から電話殺到！ 米軍特殊部隊をリアルに描いた映画が日本上陸
2,剛力彩芽が収録現場でハプニング「夢は宇宙人になること！」
0,【オトナ女子映画部】しらふで男性と関係が持てないアラフォー女性「恋愛依存症」
0,【オトナ女子映画部】恋に恋する15歳の少女が見せる強い母性『ヒミズ』
0,6月19日は父の日！今年は「親飲み」がおススメ？
1,脳科学者 茂木氏も登場！教育とテクノロジーの祭典を開催へ
1,Facebookのコメントを読みやすく！　文の途中で改行するワザ【知っ得！虎の巻】
2,DAIGO、33歳でウルトラマンにオファーされたのは想定外
0,彼いない歴10年独女、「電話占い」を試す！
2,“恐怖の顔”に変身した人気女性タレントは誰？
2,制限時間は27時間！　トム・クルーズに与えられたミッションとは
2,2200万再生を記録した“恐怖すぎる”予告映像の日本版登場
0,あなたは何様ですか？
2,森山未來＆長澤まさみがサプライズ登場、「モテキナイトFINAL!!」大盛況のうち終了
2,香里奈と向井理が相思相愛！？ 映画『ガール』完成披露で豪華キャスト登場
2,【DVDエンター！】童貞とビキニ美女のセイシをかけた戦い
1,Ultrabookにモバイルノートに最適！　厚さ9ミリUSB3.0対応のポータブルHDD「カクうす9」
1,本日のGoogleロゴはプレイ可能なハードル　Googleロゴがスポーツ関連画像に変化第八弾
1,パチンコ店でも通話がクリア！電話としてのau最新スマホの音声を徹底チェック
2,雨上がり決死隊の宮迫が、息子と対決
0,タニタに続き、第二弾！ 話題の社員食堂は家庭薬膳
2,テイラー・ロートナー主演映画で“脱アイドル”か
0,嫉妬で彼を束縛していませんか？
2,動画インタビュー：アンバー・ハード「ホラーファンは世界最高」
2,【いちおう妖ヶ劇場】第15話：バカ映画ばっかつくって何が悪いの巻
1,ピークシフト機能がさらに進化 パソコンの節電も高機能へ【デジ通】
0,【オトナ女子映画部】檀れい演じる“痛カッコイイ女”に注目『ガール』
2,挫折、蒸発、引きこもり…、“2012年最も活躍が期待できる新人”が“絶対アニメ化できないマンガNo.1”映画主題歌に異例の起用
2,片腕を奪われた少女を五体満足の女優が演じる方法とは
1,高品質なレッツノートの工場！開発現場並みの検査施設【デジ通】
2,恐怖顔であなたをみつめる戦慄の“人面つけ麺”
2,櫻井孝宏と行成とあが番組をジャックしてベルセルクトーク
1,PCを使いこなす小技が満載！　裏技やOffice系アプリ使いこなしまでを振り返る【知っ得！虎の巻】
2,沢尻エリカがしっちゃかめっちゃか、掟破りの特報映像が公開
2,スパイダーマンが地上75メートルの通天閣をクライミング
2,中国武術の源流「少林拳」の強さの秘密に迫る“3つの極意”
0,“大きいほう”のお悩みは　「こくみん腸査」でスッキリ！
1,アップル、デベロッパプレビューをリリース！次期Mac OS X「Mountain Lion」が明らかに
2,映画『荒川アンダー ザ ブリッジ』より“俺のスターアルバム”発売決定
0,正直な貯金額、人に言えますか？　Presented by ゆるっとcafe
1,タブの多段表示やウィンドウのシングル表示　Firefoxを強化しよう【知っ得！虎の巻】
2,イギリス発のナンセンスコメディが日本上陸、イメージソングはmoumoonに決定
1,町会議ラス前開催は福島県！　ニコニコ町会議in 福島県三春町の詳細決定
0,ブロガーから大きな支持を得たスキンケアアイテムとは
0,今の世の中に、男らしい男がいないのはなぜ？
2,長澤まさみの胸元にハートがバクバク、モテキ「みゆきの部屋＆るみ子の部屋」
2,若手ハリウッド女優たちが顔をゆがめて三三七拍子、『スクリーム4』の絶叫映像が公開
0,一度参加すればハマる？　噂の“街コン”に参加してみた！
1,「リーダー」機能は意外に便利！ iOSのSafariを上手に使う方法【デジ通】
0,独女がついつい見栄を張ってしまうとき
0,家飲み女子の手料理自慢
0,長男の彼女or嫁にはやっぱり覚悟が必要？
2,「ほぼ日」が夜10時からのネット試写会に2000人＋友達を招待
1,なんだこの不思議な空は？　神奈川周辺で見られた不思議な空が話題に
0,男性の家に上がったのに「その気がない」女性はアリかナシか？
0,滞っている仕事をパパッと済ませるには？
0,本心を言わないのは思いやりか？
1,リミッター解除のグラボ登場！MSIよりクロックアップの制限を解除したRadeon HD 7970搭載カード
2,【2012年先取り映画vol.8】渡辺謙、リーダーシップはあるが嫌な奴に
1,117万2132件の動画中最高の1本！ニコニコ動画「第4回動画アワード」グランプリ作品決定
0,時間の流れについていけない独女たち
0,【オトナ女子のリアルな悩み】転職を繰り返してしまう40代女子の本音
2,【週末映画まとめ読み】夏だ、プールだ、映画館だ！MOVIE ENTER夏映画特集2012がスタート
2,ミスチルが書き下ろした主題歌とともに、初恋の出会いを綴る
1,auスマホの新モデルを5秒で解説！「au発表会2012 Summer」速報
0,何故、女は韓国に魅了されるのか？ Presented by ゆるっとcafe
0,アナ スイ コスメティックスが本気を出した!? 噂の新製品＆限定品をさっそくチェック
2,老若男女が熱狂したディズニーのミュージカル映画、アカデミー主題歌賞を受賞
2,【特別映像】“鉄の女”マーガレット・サッチャーの栄光と挫折
0,ダイエット不要！ぽっちゃり系の時代が到来！？
2,おバカすぎるヒロインもご愛嬌！ イケメン部長に癒される映画『ホタルノヒカリ』
2,柳沢慎吾、初参加のカンヌ映画祭でも余裕の発言「ベンもクリスも俺より年下」
0,2010年！ 女性たちの頑張り＆プチ自慢に拍手を贈ろう！
2,【速報】「第84回アカデミー賞」、注目の“映画愛”対決は『アーティスト』が制す
2,「恋の吊り橋理論」を試すなら、史上最叫の3Dアトラクション・ホラー『ファイナル・デッドブリッジ』をチェック
0,寂しいとき、独女たちはどうしている？
2,映画『るろうに剣心』、主人公のライバル役に江口洋介、吉川晃司、香川照之
0,何をしても「満たされない」その理由は？
1,人の役に立って奨励金まで貰える！島村氏が「NAVERまとめ」の魅力を語る
2,吉高由里子、監督からの手紙に感激「泣いている姿の写真撮られたくない！」
2,エイリアンの生態を徹底解剖！世界一の映像チームがつくる緻密な造形美術
2,『アバター』を抜くか？　“最強”ヒーローが勢揃いの日本版オリジナルポスター公開
2,2012年に映像革命が起こる、『ロード・オブ・ザ・リング』の前章『ホビット』の公開が決定
2,最強コンビに忍び寄る影の正体とは？　『シャーロック・ホームズ』最新作ポスター公開
2,インタビュー：有森裕子「お互いに嘘は無い、それは確かなこと」
2,ロサンゼルスでトワイライト現象！映画のために5日間テントで泊まり込み
2,SFなのにリアル！ 話題の海外ドラマ『THE EVENT／イベント』がスゴい理由
0,まるで妊婦！？　モデルの7割が悩む「ポッコリお腹」
0,続ける? 使い分ける? Facebook、Twitter……SNSの今
2,『機動戦士ガンダムUC』最新作の主題歌に、新人が異例の大抜擢
0,独女流、野球場の楽しみ方とは？
2,イラン映画として初のオスカー、外国語映画賞を『別離』が受賞
2,【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤独か幸福か
1,ある日突然犯罪者扱いに？　無許可ダウンロードの罰則化が引き起こす問題
1,その被害は数百万人以上？ 個人情報ぶっこ抜きの不審なAndroidアプリの顛末
2,独占入手！「センター・オブ・ジ・アース」のゲームを先行プレイ
2,天海祐希がハリウッド進出、『リアル・スティール』で実写映画の吹き替え初挑戦
1,スマホ対応も進んで続々と機能アップ！進化するクラウド型ストレージサービス【デジ通】
2,沢尻エリカが約４年半ぶりの女優復帰「いい女って何だろう？」
2,小栗旬がゾンビ映画を手掛ける？　必見の予告映像が公開
2,基礎から勉強しよう！ 初心者でもわかる「東京国際映画祭」ガイド
0,【オトナ女子映画部】1年の始まりに“どう生きるか”を考える『永遠の僕たち』
1,より強く！より最強に！ 無敵Galaxy Noteをさらに強くする【イケショップのレア物】
0,加藤茶と恋愛できますか？「超年の差婚」に対する世間の厳しい本音
0,仕事、遠距離恋愛……。会えない時間で愛は育つか？
2,アン・ハサウェイが完璧なボディ披露！　“美しすぎる”キャットウーマンの新ビジュアル公開
1,話題の最新スマホの予約日が決定！ドコモ、MEDIAS X N-07Dを発売へ
2,原発が日本にとって必要なのか、そうではないのか問う
2,坂下千里子、イケメン俳優のキスにメロメロ
2,【プレゼント】40年前の“笑い”が蘇る！第5回したまちコメディ映画祭in台東“ザ・ドリフターズ特集”にご招待
1,着実な資産形成をイメージできる！ 日興アセットの「お金計算機」【デジ通】
1,旧マシンを二台のSSDで超加速！　超寿命高速SSDとRAIDカードでシステムを爆速化
0,ねむれないお年頃にご用心！〜Presented by ゆるっとcafe〜
1,敗者は去れ？ 再挑戦を認めるか認めないかで荒れるクラウドファンディング「studygift」
1,え？これ食べれるの？　海外のバースデーケーキの見事さが話題に
1,「すぐつく」の機能は微妙に異なる！テレビ機能の競い合い続く国産PC【デジ通】
1,うちにもプラチナバンドが来た！　ソフトバンクのプラチナバンド帯が徐々に拡大中
2,『スパイダーマン』新ヒロインのエマ・ストーン「素敵なキスシーンはあります！」
1,プレイ可能なGoogleロゴ第三弾！　Googleロゴがスポーツ関連画像に変化第十弾
1,普通の中学で学んだ程度でした！孫社長が明かした若き日の英語力
1,官民連携で進化するセキュリティ人材の発掘・育成 【役立つセキュリティ】
0,バレンタインに観たい映画『エターナル・サンシャイン』
1,ソーシャルメディア戦略を加速！グリー、GREE TV（仮）を開発へ
0,アイドル戦国時代到来！　もし彼がアイドルヲタだったら…？
2,【編集部的映画批評】孤独な英雄の苦悩、リーダーに求められる資質とは
0,【オトナ女子映画部】歳を重ねても輝ける女性は何が違うのか？『デンジャラス・ビューティー』
2,貞子が“3D”でも満足できずに“4D”へと呪いを増幅
0,「清潔感のある女」ってどんな女？
0,結婚相手に妥協できるものできないもの（女性編）
1,聞こえてきたIVY Bridgeの足音！GIGABYTEがCeBIT 2012でIVY Bridge対応マザーを展示
1,孫社長が新スマホを大々的に宣伝！放射線測定スマホを開発した理由
1,こんこん、ふぉっくす紺子です！MMD動画、配信中です【紺子にゅうす】
2,「スター・ウォーズ3D」のポスター公開！ダース・モールのライトセーバーが輝く
2,剛力彩芽が笑顔を封印し、泥メイクに挑戦
